,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Power_ac_char,0,0.0005,0.00075,0.001,0.002,0.004,0.008,0.015,0.03,0.1,0.21,0.34,0.505,0.72,1
Loss_char_001,0,467.5325398,679.245626,878.0497994,1565.230343,2571.568382,3790.687924,4871.896743,5846.472897,7307.921727,9737.868086,14437.09351,23396.68032,39970.3419,69483.30072
Loss_char_010,0,467.5325314,679.2455863,878.0496814,1565.228843,2571.55219,3790.547338,4871.083081,5841.848751,7240.062788,9422.876814,13609.98007,21601.11262,36426.31511,62930.72226
Loss_char_020,0,467.5325329,679.2455935,878.0497029,1565.229116,2571.555141,3790.572967,4871.231424,5842.691959,7252.447716,9480.444506,13761.38006,21930.4139,37077.82268,64138.80432
Loss_char_030,0,467.5325326,679.245592,878.0496983,1565.229057,2571.554506,3790.56745,4871.19949,5842.510448,7249.78211,9468.057194,13728.81107,21859.59891,36937.77736,63879.25438
Loss_char_040,0,467.5325326,679.2455921,878.0496987,1565.229063,2571.554567,3790.567978,4871.202547,5842.527823,7250.037288,9469.243097,13731.92928,21866.37943,36951.18807,63904.11201
Loss_char_050,0,467.5325344,679.2456008,878.0497244,1565.229389,2571.558088,3790.598549,4871.379489,5843.533517,7264.803547,9537.841881,13912.22631,22258.22933,37725.69832,65338.57681
Loss_char_060,0,467.5325362,679.2456091,878.0497491,1565.229703,2571.561477,3790.627978,4871.549815,5844.50151,7279.009704,9603.791492,14085.41859,22634.2612,38468.01917,66711.32806
Loss_char_070,0,467.5325374,679.2456146,878.0497655,1565.229912,2571.563732,3790.647552,4871.663099,5845.145281,7288.454062,9647.609738,14200.41422,22883.73423,38960.00397,67620.01619
Loss_char_080,0,467.5325351,679.245604,878.0497339,1565.22951,2571.559392,3790.609873,4871.445031,5843.906017,7270.271066,9563.229351,13978.91358,22403.06313,38011.72028,65867.75072
Loss_char_090,0,467.5325393,679.2456237,878.0497924,1565.230253,2571.567417,3790.679547,4871.848265,5846.197451,7303.883679,9719.153501,14388.04062,23290.42602,39761.19206,69097.88996
Loss_char_100,0,467.5325347,679.2456018,878.0497275,1565.229428,2571.55851,3790.602219,4871.400734,5843.654258,7266.575866,9546.072083,13933.84749,22305.19298,37818.45819,65510.22668
Power_ac_dis,0,1E-100,0.1,0.21,0.34,0.505,0.72,1,0,0,0,0,0,0,0
Loss_dis_001,0,7202.896501,8198.585565,11459.54228,18357.76701,32103.92655,58960.66045,110555.7141,0,0,0,0,0,0,0
Loss_dis_010,0,7202.220287,8044.669794,10808.37816,16632.19214,28165.8542,50495.4992,92817.77001,0,0,0,0,0,0,0
Loss_dis_020,0,7201.737147,7935.200923,10347.6689,15419.20826,25421.69783,44669.15284,80826.79636,0,0,0,0,0,0,0
Loss_dis_030,0,7201.665314,7918.960513,10279.48913,15240.24788,25018.48149,43817.91142,79089.08517,0,0,0,0,0,0,0
Loss_dis_040,0,7201.750688,7938.263242,10360.52988,15452.98191,25497.84056,44830.03813,81155.62505,0,0,0,0,0,0,0
Loss_dis_050,0,7201.605198,7905.376246,10222.49372,15090.75213,24681.97383,43108.43997,77643.48698,0,0,0,0,0,0,0
Loss_dis_060,0,7201.47437,7875.8355,10098.65483,14766.26639,23952.57579,41573.53933,74524.36193,0,0,0,0,0,0,0
Loss_dis_070,0,7201.381236,7854.824362,10010.66058,14535.98105,23435.75679,40488.37664,72325.98554,0,0,0,0,0,0,0
Loss_dis_080,0,7201.527427,7887.81196,10148.84449,14897.7191,24247.89766,42194.51738,75784.90494,0,0,0,0,0,0,0
Loss_dis_090,0,7201.385395,7855.762258,10014.58693,14546.25156,23458.7918,40536.701,72423.76411,0,0,0,0,0,0,0
Loss_dis_100,0,7201.205033,7815.114596,9844.554533,14101.90297,22463.43611,38452.1439,68215.92944,0,0,0,0,0,0,0
